,age,predict_age
0,18,14.6401005
1,24,16.918089
2,21,15.379908
3,24,21.644583
4,20,19.48847
5,21,16.433105
6,19,15.675487
7,23,15.907108
8,24,16.036818
9,28,19.117868
10,37,20.690248
11,24,20.108437
12,24,17.090216
13,23,19.795832
14,27,15.539005
15,32,21.4785
16,30,18.163908
17,23,14.5052395
18,31,20.671118
19,22,14.349451
20,26,20.043024
21,25,16.630922
22,24,17.547403
23,69,36.220215
24,73,55.098537
25,24,16.939238
26,25,15.728235
27,42,23.62593
28,43,31.048466
29,21,16.640842
30,24,14.805009
31,57,45.324196
32,44,16.45065
33,55,38.5325
34,32,17.414831
35,31,16.632582
36,33,20.450342
37,28,19.944117
38,30,15.886211
39,27,16.091616
40,31,18.428484
41,29,17.067518
42,56,21.25239
43,25,24.36009
44,39,31.091593
45,23,17.73134
46,20,15.624669
47,19,20.01366
48,21,15.322826
49,30,19.830217
50,20,16.739351
51,19,18.810541
52,58,34.403404
53,51,27.783993
54,18,19.17872
55,19,14.126877
56,53,31.191282
57,21,16.143028
58,19,17.937075
59,20,22.770502
60,20,14.256937
61,19,16.183088
62,21,15.511175
63,22,15.743586
64,22,23.589071
65,18,16.760374
66,20,15.486379
67,20,14.584014
68,40,17.14786
69,19,15.330917
70,19,19.383978
71,31,16.276869
72,19,14.166011
73,21,16.531946
74,22,18.13943
75,33,16.168629
76,20,18.572104
77,24,16.250534
78,25,15.213371
79,25,17.853045
80,19,15.783725
81,19,17.29398
82,21,20.907766
83,21,17.891798
84,22,16.617489
85,20,15.918331
86,22,17.1185
87,20,16.671255
88,19,20.353128
89,20,14.473719
90,24,20.792082
91,24,15.7925625
92,45,23.94888
93,21,18.156364
94,22,15.531364
95,21,15.692495
96,21,14.945954
97,24,17.554594
98,32,16.853605
99,33,24.11088
100,25,16.220926
101,37,20.311838
102,41,40.841362
103,20,20.833893
104,37,19.550081
105,43,26.151985
106,24,25.098352
107,25,20.313482
108,39,22.00076
109,23,21.473747
110,26,15.468416
111,24,21.076777
112,23,30.991169
113,23,16.044521
114,27,17.591148
115,28,16.842833
116,23,23.068068
117,23,17.558458
118,22,20.527086
119,25,15.577228
120,24,17.331783
121,21,16.827496
122,50,47.38262
123,24,17.321781
124,47,29.282486
125,26,28.663923
126,30,17.573952
127,28,23.146578
128,39,21.841524
129,35,17.669508
130,29,19.863096
131,32,21.273733
132,25,18.565262
133,37,18.43284
134,29,25.313486
135,24,22.900995
136,32,24.500334
137,29,22.175379
138,28,21.904058
139,26,15.990616
140,30,17.120428
141,31,17.050303
142,57,48.22457
143,55,30.859945
144,22,16.249079
145,27,15.629971
146,22,18.071463
147,31,16.213406
148,66,49.614746
149,49,21.721382
150,37,22.154184
151,64,31.587868
152,31,20.542858
153,32,22.53701
154,37,21.058079
155,36,25.138578
156,32,18.626917
157,33,18.703876
158,28,17.118164
159,46,21.916346
160,39,20.515974
161,33,40.69062
162,27,16.423063
163,24,14.901533
164,63,42.28849
165,24,17.187069
166,21,15.946421
167,20,16.659315
168,28,17.054605
169,49,44.2314
170,18,25.34981
171,19,17.031977
172,34,19.107483
173,25,39.893604
174,30,15.313011
175,23,16.630028
176,28,17.617796
177,26,19.672897
178,20,17.309822
179,20,15.931408
180,21,18.756758
181,23,15.414846
182,34,15.451658
183,34,45.975002
184,35,17.533321
185,35,25.342352
186,57,27.571428
187,46,19.679148
188,30,20.212667
189,29,15.361345
190,31,38.87336
191,38,18.556438
192,22,15.282887
193,30,19.20112
194,32,18.066912
195,32,18.462494
196,35,17.668306
197,36,19.004107
198,25,16.4805
199,24,22.138342
200,18,17.1399
201,19,19.623701
202,19,17.911636
203,20,25.100225
204,20,17.744059
205,23,17.869532
206,22,20.583643
207,21,21.458483
208,23,18.657228
209,26,21.752275
210,19,17.312145
211,21,18.496302
212,23,17.529247
213,32,22.687767
214,33,30.261736
215,33,30.6398
216,28,28.263727
217,39,19.212908
218,32,22.991161
219,32,21.534477
220,32,18.99536
221,26,18.661058
222,28,19.853102
223,32,20.12108
224,22,18.112963
225,26,18.644926
226,28,18.113724
227,25,20.514488
228,24,34.741833
229,24,21.583685
230,29,20.04267
231,29,17.926912
232,27,19.132277
233,24,19.112013
234,27,18.559395
235,26,20.755138
236,24,21.588379
237,27,18.672373
238,23,17.319956
239,24,19.8002
240,23,16.924746
241,20,28.067442
242,23,16.789461
243,24,17.51151
244,31,29.105701
245,22,34.669987
246,24,20.225113
247,24,19.06859
248,26,21.028288
249,25,28.257109
250,51,20.461378
251,64,41.879528
252,54,41.971416
253,21,18.227297
254,25,17.38996
255,24,28.80578
256,56,27.190142
257,21,18.057043
258,25,30.701996
259,32,29.60462
260,31,28.82707
261,31,21.323977
262,23,23.547028
263,31,57.204636
264,30,21.18487
265,46,35.378872
266,19,18.687632
267,19,18.085768
268,21,16.647036
269,21,17.368538
270,20,18.738708
271,51,32.44274
272,21,18.012579
273,19,19.51885
274,19,18.345934
275,22,18.593468
276,21,16.40799
277,22,19.372093
278,19,17.962992
279,21,18.516922
280,22,21.563932
281,20,29.536024
282,22,24.982178
283,19,19.351526
284,26,22.080408
285,19,18.773643
286,21,18.251604
287,19,17.482927
288,23,21.397966
289,20,37.149693
290,19,21.451468
291,20,17.47033
292,22,17.197592
293,19,26.374228
294,22,19.464342
295,21,18.186192
296,21,30.671461
297,20,19.252745
298,21,17.188698
299,28,18.45459
300,23,18.550552
301,19,17.603914
302,20,19.576857
303,18,19.844446
304,22,22.673937
305,19,17.140839
306,28,17.347404
307,21,20.398376
308,24,22.434622
309,49,28.674068
310,46,30.849684
311,23,17.317293
312,21,18.814142
313,31,19.36493
314,20,19.70779
315,19,18.3967
316,19,17.850048
317,46,26.78786
318,44,31.246813
319,63,64.56496
320,58,46.81224
321,57,31.98594
322,56,49.173645
323,52,39.983162
324,55,50.278168
325,34,21.722458
326,30,20.941353
327,43,34.540993
328,24,25.23276
329,35,30.041132
330,24,19.963621
331,21,20.648645
332,34,39.601128
333,24,21.02873
334,27,22.749983
335,24,35.148315
336,27,30.415285
337,34,35.369907
338,28,22.20169
339,33,21.53341
340,34,20.7754
341,37,19.111074
342,33,22.004763
343,32,23.468721
344,32,25.935999
345,28,24.198385
346,37,19.065706
347,24,31.87324
348,31,21.217089
349,23,20.157198
350,24,26.605082
351,31,24.036459
352,29,28.48892
353,33,23.941444
354,32,26.242147
355,35,21.164103
356,33,18.94415
357,33,26.369858
358,36,17.6654
359,28,28.147282
360,27,22.694231
361,30,19.954084
362,22,19.498312
363,20,18.129091
364,24,21.009623
365,37,19.89123
366,31,35.86419
367,30,27.616749
368,22,25.959145
369,45,28.258142
370,24,17.457214
371,43,22.034687
372,25,21.842247
373,19,16.33623
374,32,31.433138
375,25,19.960238
376,21,19.30028
377,25,20.746382
378,28,20.261763
379,25,18.24829
380,22,27.642368
381,36,24.04754
382,32,18.770063
383,23,20.908125
384,40,20.670088
385,43,24.24549
386,44,27.064348
387,24,20.71118
388,23,19.116707
389,42,25.550943
390,52,30.938189
391,26,19.206274
392,25,18.864023
393,28,21.299913
394,25,18.228777
395,23,25.040976
396,25,18.685974
397,22,18.982319
398,22,18.204361
399,30,23.393343
400,21,18.368532
401,21,15.416891
402,19,53.746906
403,20,16.943558
404,19,19.201134
405,20,20.134811
406,31,18.119781
407,27,24.69432
408,31,25.133572
409,36,22.024782
410,26,14.658321
411,27,21.89378
412,25,15.855412
413,29,20.28495
414,26,28.36993
415,30,24.645918
416,22,17.745342
417,31,26.374607
418,26,22.307701
419,21,24.500748
420,30,22.215233
421,20,23.934263
422,33,23.428478
423,39,25.641739
424,24,17.795729
425,23,17.929474
426,23,19.254845
427,28,22.1386
428,23,21.818176
429,22,16.563005
430,25,21.153992
431,21,18.155058
432,59,35.51226
433,22,23.234217
434,59,38.712097
435,24,20.325691
436,24,20.564766
437,63,27.973595
438,49,36.64003
439,23,20.514256
440,25,18.82855
441,39,22.351116
442,44,28.712463
443,74,52.398933
444,38,20.910473
445,64,39.106743
446,40,17.720594
447,49,30.62659
448,26,21.54996
449,58,58.636753
450,49,45.37512
451,39,34.283314
452,31,18.990019
453,32,29.74747
454,23,21.167183
455,24,16.60705
456,19,17.366459
457,19,24.76293
458,20,19.06858
459,19,17.827202
460,21,18.962387
461,19,16.298212
462,21,16.117033
463,21,21.614513
464,20,18.202171
465,18,19.640926
466,21,24.158031
467,20,19.214949
468,18,18.57597
469,20,20.721733
470,25,22.379387
471,22,17.302547
472,21,19.945442
473,21,20.515667
474,20,22.13273
475,20,17.659576
476,19,17.586071
477,19,21.485487
478,19,17.487078
479,20,20.645544
480,20,31.945658
481,19,16.27723
482,23,16.528791
483,21,18.154484
484,19,23.467379
485,24,16.808178
486,22,38.601254
487,22,18.195486
488,22,18.25096
489,21,20.882536
490,21,17.713818
491,25,43.60632
492,21,28.700104
493,23,16.615627
494,22,19.62427
495,25,24.415684
496,19,18.459429
497,19,17.97894
498,18,17.573442
499,21,19.485283
500,21,21.048397
501,18,25.85588
502,19,19.74749
503,20,24.21801
504,20,29.950335
505,20,19.74281
506,43,21.99874
507,31,24.080256
508,37,19.866093
509,56,39.47812
510,82,55.720478
511,53,52.593227
512,61,42.40077
513,58,43.371403
514,31,23.018593
515,38,19.927628
516,26,36.349133
517,30,25.051613
518,32,23.642164
519,27,22.076494
520,31,21.269054
521,31,21.865368
522,31,20.109455
523,28,30.319204
524,27,19.749065
525,28,22.06879
526,71,53.363377
527,52,41.510933
528,29,20.026352
529,23,21.866459
530,29,34.0576
531,55,32.317043
532,37,26.291565
533,37,25.97715
534,28,23.048985
535,30,19.074814
536,25,27.329153
537,28,30.006086
538,59,40.21282
539,39,37.07836
540,33,32.134937
541,29,19.134733
542,60,33.31077
543,39,28.0085
544,35,28.085472
545,27,19.10801
546,66,57.432247
547,24,32.350933
548,23,30.282387
549,25,17.99422
550,30,34.073925
551,21,24.103485
552,24,25.622887
553,30,24.336464
554,32,26.940987
555,23,26.127844
556,33,19.226542
557,28,26.50278
558,29,22.886597
559,33,25.255123
560,36,22.276146
561,27,28.913809
562,45,29.826971
563,35,22.77547
564,42,21.833855
565,24,22.605202
566,58,47.639038
567,18,16.454868
568,21,19.038605
569,20,17.989079
570,23,24.265532
571,52,24.306385
572,31,20.153008
573,23,23.466768
574,24,17.110764
575,29,38.929455
576,25,17.491398
577,21,23.208338
578,22,19.900452
579,26,33.085102
580,33,19.770409
581,21,24.101257
582,28,23.169842
583,23,18.933067
584,33,19.308
585,45,29.098057
586,32,20.097923
587,31,22.504215
588,23,27.868862
589,24,16.581486
590,23,18.018486
591,55,49.940784
592,25,23.191338
593,24,18.967628
594,30,24.005846
595,57,33.36498
596,24,15.604902
597,24,23.923233
598,24,24.041777
599,24,24.043558
600,27,17.693926
601,19,16.22488
602,25,22.350063
603,20,19.891378
604,18,19.632666
605,20,19.840021
606,23,16.910923
607,35,20.082186
608,31,16.10695
609,33,17.755302
610,32,20.619635
611,31,21.568552
612,24,18.961142
613,25,19.285604
614,31,24.641333
615,28,23.714533
616,21,17.146025
617,24,20.20354
618,26,26.478941
619,30,22.357891
620,31,18.533747
621,28,16.75921
622,24,20.119413
623,34,21.883215
624,23,17.240908
625,23,21.22433
626,26,18.281908
627,25,21.914984
628,29,19.505209
629,24,16.574537
630,23,19.350832
631,24,17.448553
632,24,17.168531
633,50,30.471022
634,22,18.760233
635,49,21.18707
636,24,16.983862
637,69,67.47408
638,53,32.629448
639,22,35.05822
640,26,17.655039
641,27,17.414793
642,53,27.165434
643,48,24.342396
644,72,54.382835
645,38,17.742136
646,34,24.121685
647,30,22.9398
648,37,25.86555
649,23,17.779247
650,35,18.246828
651,19,17.29712
652,24,16.292227
653,27,17.035622
654,19,16.250488
655,21,16.587824
656,51,66.61402
657,21,21.036032
658,23,19.194996
659,22,15.6479225
660,19,17.384027
661,21,18.779345
662,20,22.631907
663,21,19.830465
664,22,26.516024
665,19,17.081966
666,20,16.726679
667,21,16.656416
668,20,18.677414
669,19,17.651443
670,19,17.664877
671,20,19.37629
672,20,17.791346
673,20,15.3931265
674,22,15.632441
675,19,18.032652
676,27,17.084742
677,22,17.170273
678,22,15.555702
679,23,17.402464
680,52,35.13183
681,22,19.37995
682,19,16.369123
683,20,20.372576
684,19,21.208906
685,24,16.654875
686,24,18.386778
687,24,18.26311
688,19,18.008827
689,19,18.99357
690,23,22.296978
691,19,32.71507
692,30,20.384943
693,21,21.096813
694,19,17.076094
695,19,19.767557
696,22,18.270906
697,21,20.323477
698,53,37.40407
699,53,31.80725
700,29,30.963823
701,30,23.392664
702,37,20.511957
703,27,24.325863
704,57,62.508114
705,58,48.518177
706,38,18.250845
707,69,48.82173
708,41,25.240965
709,41,24.536543
710,38,25.636316
711,33,21.126995
712,25,19.59661
713,24,19.654367
714,22,18.802664
715,23,15.841629
716,24,16.73653
717,21,22.350733
718,26,20.987066
719,38,27.760485
720,24,20.875864
721,36,26.008139
722,58,33.27258
723,38,20.035608
724,31,18.99454
725,32,23.141745
726,25,24.701893
727,31,21.445322
728,25,19.324661
729,25,19.922407
730,46,45.013195
731,28,18.112211
732,33,22.442621
733,52,34.352467
734,22,31.602106
735,42,31.934473
736,24,21.876314
737,45,24.526161
738,37,26.03795
739,22,19.358006
740,42,20.725622
741,23,15.872353
742,25,21.323997
743,31,22.064474
744,26,21.193897
745,25,18.781155
746,28,25.029192
747,40,21.70857
748,28,22.18503
749,32,24.282545
750,27,20.70967
751,30,28.412432
752,34,19.90034
753,30,18.88651
754,23,16.216331
755,19,27.152246
756,19,15.955757
757,21,17.485922
758,24,19.420803
759,28,20.712893
760,33,21.385033
761,39,15.944093
762,29,27.103266
763,40,37.03715
764,57,45.790386
765,18,19.310068
766,37,20.416452
767,30,18.50984
768,27,23.057144
769,28,19.483667
770,22,21.804771
771,26,19.14136
772,36,21.582273
773,40,24.405413
774,23,19.36607
775,24,18.049875
776,26,20.222721
777,24,15.075648
778,37,44.591267
779,46,33.189648
780,50,32.569637
781,24,24.100092
782,24,18.258581
783,24,16.382536
784,25,19.91395
785,28,21.337324
786,30,19.411533
787,25,21.277601
788,60,56.14078
789,24,23.327991
790,25,23.378
791,30,17.330555
792,28,21.362497
793,21,18.373278
794,21,16.732508
795,28,19.660631
796,22,16.730547
797,23,19.73062
798,24,20.795866
799,23,18.990864
800,18,21.181799
801,19,20.130589
802,24,28.351137
803,23,20.528723
804,19,19.254684
805,23,22.146593
806,29,30.86199
807,28,23.544445
808,30,22.097017
809,38,23.882463
810,39,24.011156
811,27,21.545378
812,31,25.339514
813,27,19.733301
814,24,21.180008
815,24,20.353018
816,23,18.934677
817,27,19.469921
818,29,21.841614
819,29,23.83798
820,23,21.921545
821,32,27.83897
822,22,19.37792
823,28,21.759693
824,24,19.219025
825,23,20.056921
826,24,21.302837
827,23,19.160799
828,23,21.782597
829,23,21.563513
830,30,23.476322
831,37,25.223246
832,25,20.989626
833,30,19.26842
834,23,19.891151
835,22,19.809477
836,22,23.073128
837,25,20.726107
838,23,19.872023
839,23,21.07255
840,27,20.757582
841,23,22.378036
842,26,21.2096
843,29,22.935038
844,41,23.315271
845,58,32.112328
846,25,18.981833
847,24,20.006128
848,37,21.060762
849,72,46.52972
850,36,22.66216
851,31,22.104675
852,34,21.897488
853,31,30.333923
854,33,30.513496
855,32,28.851707
856,25,20.258112
857,25,23.600256
858,22,21.473742
859,19,23.94847
860,59,28.946032
861,20,23.302708
862,19,19.217546
863,23,22.321556
864,22,21.042631
865,19,18.33859
866,20,35.199036
867,21,20.697355
868,21,19.3962
869,19,20.129786
870,20,23.250116
871,19,23.250261
872,21,19.369827
873,19,19.055029
874,19,19.923826
875,20,19.58865
876,19,24.062696
877,18,21.923162
878,21,19.719812
879,20,23.877802
880,19,19.764925
881,22,21.623327
882,20,20.24047
883,19,19.712536
884,21,21.147018
885,22,20.011967
886,56,37.85386
887,24,21.342737
888,21,21.76011
889,21,23.052057
890,20,24.0463
891,19,18.137972
892,21,18.60135
893,20,18.856089
894,21,19.829035
895,20,20.407217
896,21,22.07907
897,19,19.306564
898,19,20.830067
899,20,21.716118
900,21,18.178534
901,19,18.467901
902,33,22.042479
903,63,44.14821
904,36,22.68903
905,60,69.44987
906,48,37.36467
907,30,32.43635
908,32,28.929117
909,37,42.453876
910,31,27.790068
911,56,49.15155
912,33,23.448414
913,30,20.432852
914,45,25.39261
915,24,22.26733
916,22,19.225939
917,25,21.264277
918,32,26.653034
919,26,25.234346
920,23,26.885546
921,23,19.098764
922,24,18.645477
923,27,24.67147
924,24,18.554403
925,25,29.071596
926,24,24.429094
927,28,23.488218
928,26,27.275625
929,24,21.45733
930,26,22.70022
931,34,23.578156
932,35,22.509714
933,55,33.212868
934,31,24.695587
935,51,31.54552
936,28,23.572535
937,35,21.159904
938,24,21.539934
939,40,27.810263
940,23,20.814013
941,27,21.84162
942,24,23.454533
943,24,18.208544
944,30,21.501749
945,22,19.540226
946,27,19.567469
947,24,22.247969
948,32,23.757105
949,30,22.056677
950,24,19.689558
951,22,21.040579
952,21,22.624426
953,30,23.442997
954,58,43.749424
955,26,21.590328
956,22,19.601954
957,29,18.434671
958,45,29.020641
959,28,22.187979
960,27,20.381136
961,35,22.441006
962,43,20.93861
963,27,25.24883
964,27,21.612955
965,31,19.143
966,32,22.735737
967,18,23.415554
968,21,20.33718
969,30,22.472157
970,32,20.082273
971,36,22.65659
972,33,29.852083
973,32,22.16289
974,24,23.563602
975,31,20.52261
976,32,22.031206
977,48,33.05471
978,26,25.018618
979,23,18.291727
980,21,22.855778
981,21,20.057478
982,25,26.986628
983,29,23.19385
984,36,26.111933
985,49,34.192524
986,34,18.285994
987,27,25.060537
988,28,21.728575
989,34,24.18187
990,53,33.3166
991,24,21.114422
992,23,19.405302
993,27,24.269781
994,24,19.639372
995,32,23.589346
996,24,18.783907
997,24,20.890486
